Date,High,Close,Low,Index
2015/12/11,"5,376.28","5,335.84","5,305.23",826
2015/12/14,"5,456.95","5,456.51","5,277.61",827
2015/12/15,"5,505.55","5,484.63","5,456.54",828
2015/12/16,"5,536.47","5,503.52","5,487.26",829
2015/12/17,"5,635.26","5,635.12","5,537.95",830
2015/12/18,"5,670.17","5,633.02","5,608.74",831
2015/12/21,"5,731.73","5,722.03","5,619.48",832
2015/12/22,"5,760.52","5,760.29","5,692.41",833
2015/12/23,"5,788.64","5,711.29","5,702.42",834
2015/12/24,"5,711.29","5,685.59","5,607.67",835
2015/12/25,"5,729.41","5,716.56","5,680.42",836
2015/12/28,"5,744.10","5,576.04","5,576.04",837
2015/12/29,"5,631.84","5,631.47","5,535.13",838
2015/12/30,"5,670.52","5,670.35","5,609.00",839
2015/12/31,"5,683.66","5,592.64","5,592.02",840
2016/1/4,"5,586.90","5,156.02","5,155.92",841
2016/1/5,"5,186.41","5,101.97","4,927.81",842
2016/1/6,"5,220.12","5,219.81","5,086.38",843
2016/1/7,"5,125.78","4,809.71","4,801.31",844
2016/1/8,"4,969.67","4,874.65","4,649.65",845
2016/1/11,"4,831.73","4,571.97","4,571.97",846
2016/1/12,"4,631.53","4,583.36","4,495.53",847
2016/1/13,"4,646.61","4,446.67","4,446.67",848
2016/1/14,"4,586.47","4,578.46","4,307.32",849
2016/1/15,"4,583.62","4,420.99","4,393.70",850
2016/1/18,"4,526.78","4,478.99","4,333.79",851
2016/1/19,"4,640.15","4,634.16","4,460.14",852
2016/1/20,"4,658.88","4,583.39","4,548.46",853
2016/1/21,"4,625.18","4,414.23","4,414.23",854
2016/1/22,"4,498.52","4,474.63","4,354.61",855
2016/1/25,"4,548.31","4,514.42","4,469.87",856
2016/1/26,"4,473.55","4,204.88","4,197.15",857
2016/1/27,"4,231.82","4,169.19","3,993.11",858
2016/1/28,"4,169.69","4,013.12","3,997.54",859
2016/1/29,"4,187.46","4,154.91","3,996.01",860
